City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
225,Namatanai,PG,2022-05-15 00:30:07,-3.6667,152.4333,85.41,62,10,3.65
226,Mafinga,TZ,2022-05-15 00:30:07,-7.25,35.0667,64.0,76,6,2.17
227,Bandarbeyla,SO,2022-05-15 00:30:08,9.4942,50.8122,80.74,86,10,20.07
228,Souillac,MU,2022-05-15 00:30:09,-20.5167,57.5167,75.58,69,40,5.75
229,Talcahuano,CL,2022-05-15 00:30:09,-36.7167,-73.1167,47.88,93,0,4.61
230,Rio Grande,BR,2022-05-15 00:30:10,-32.035,-52.0986,58.95,92,99,6.35
231,Mikumi,TZ,2022-05-15 00:30:11,-7.4041,36.9831,64.02,94,1,2.21
232,Aripuana,BR,2022-05-15 00:30:11,-9.1667,-60.6333,74.52,91,77,0.74
233,Hareid,NO,2022-05-15 00:30:12,62.3714,6.0263,46.71,86,100,3.0
234,Toba,JP,2022-05-15 00:30:13,34.4833,136.85,65.08,55,90,5.99
235,Leh,IN,2022-05-15 00:30:13,34.1667,77.5833,47.08,33,0,3.6
236,Petropavlovsk-Kamchatskiy,RU,2022-05-15 00:30:14,53.0452,158.6483,43.39,81,75,20.13
237,Gat,IL,2022-05-15 00:30:15,31.61,34.7642,74.08,81,99,8.37
238,Dhidhdhoo,MV,2022-05-15 00:30:16,6.8833,73.1,83.43,74,100,19.35
239,Grand-Santi,GF,2022-05-15 00:30:17,4.25,-54.3833,73.83,99,100,2.17
240,Ordzhonikidze,KZ,2022-05-15 00:30:18,52.4411,61.7408,51.39,76,100,7.34
241,Changping,CN,2022-05-15 00:30:19,40.2186,116.2197,64.04,17,4,4.99
242,Ichnya,UA,2022-05-15 00:30:19,50.8626,32.3942,45.0,95,29,9.26
243,Kruisfontein,ZA,2022-05-15 00:30:20,-34.0033,24.7314,51.37,88,0,4.94
244,Sal Rei,CV,2022-05-15 00:30:21,16.1833,-22.9167,71.91,87,100,18.19
245,Dekar,BW,2022-05-15 00:30:22,-21.5333,21.9333,62.94,34,3,6.85
246,Xining,CN,2022-05-15 00:28:12,36.6167,101.7667,40.73,72,91,3.04
247,Campos Altos,BR,2022-05-15 00:30:23,-19.6961,-46.1714,67.37,60,100,1.5
248,Duku,NG,2022-05-15 00:30:24,11.2361,4.9073,85.71,56,95,5.12
249,Kingaroy,AU,2022-05-15 00:30:25,-26.5333,151.8333,73.44,83,75,5.75
250,Lompoc,US,2022-05-15 00:30:25,34.6391,-120.4579,84.02,63,0,16.11
251,Tsabong,BW,2022-05-15 00:30:26,-26.0217,22.401,60.53,19,0,6.24
252,Mokolo,CM,2022-05-15 00:30:27,10.7398,13.8019,81.77,44,100,2.64
253,Bahir Dar,ET,2022-05-15 00:30:28,11.5936,37.3908,70.93,34,7,3.2
254,Vallenar,CL,2022-05-15 00:25:46,-28.5708,-70.7581,61.29,50,6,1.41
255,Ornskoldsvik,SE,2022-05-15 00:30:29,63.2909,18.7153,41.95,75,20,16.11
256,Smithers,CA,2022-05-15 00:30:30,54.7804,-127.1743,52.12,37,100,4.61
257,Dingle,PH,2022-05-15 00:30:31,10.9995,122.6711,84.29,70,55,4.68
258,Honiara,SB,2022-05-15 00:30:32,-9.4333,159.95,86.2,67,100,4.29
259,Qasigiannguit,GL,2022-05-15 00:30:33,68.8193,-51.1922,26.85,88,18,5.37
260,Pacific Grove,US,2022-05-15 00:30:34,36.6177,-121.9166,76.44,71,0,8.05
261,Kinablangan,PH,2022-05-15 00:30:35,7.6947,126.5503,82.35,77,100,1.48
262,Bethel,US,2022-05-15 00:26:54,41.3712,-73.414,69.89,85,100,8.05
263,Husavik,IS,2022-05-15 00:30:36,66.0449,-17.3389,38.59,83,99,9.15
264,Glasgow,GB,2022-05-15 00:30:36,55.8652,-4.2576,50.2,89,65,1.14
265,Saint-Philippe,RE,2022-05-15 00:30:37,-21.3585,55.7679,69.39,78,41,8.57
266,Balkhash,KZ,2022-05-15 00:30:38,46.844,74.9804,60.66,67,2,8.86
267,Tiznit,MA,2022-05-15 00:30:39,29.5833,-9.5,65.93,66,82,3.2
268,Camana,PE,2022-05-15 00:30:40,-16.6228,-72.7111,65.44,80,47,7.09
269,Baghdad,IQ,2022-05-15 00:29:38,33.3406,44.4009,67.91,28,0,8.05
270,Teguldet,RU,2022-05-15 00:31:40,57.3064,88.1667,64.26,50,82,5.1
271,Dukat,RU,2022-05-15 00:31:41,62.55,155.55,32.27,100,100,4.5
272,Chupa,RU,2022-05-15 00:31:41,66.27,33.0549,40.41,91,100,3.49
273,Dong Xoai,VN,2022-05-15 00:31:42,11.5333,106.9167,84.99,73,100,5.46
274,Berlevag,NO,2022-05-15 00:31:42,70.8578,29.0864,35.4,80,20,2.3
275,Raudeberg,NO,2022-05-15 00:31:43,61.9875,5.1352,43.95,90,100,9.15
276,Batman,TR,2022-05-15 00:31:44,37.8874,41.1322,57.0,82,75,2.3
277,Biak,ID,2022-05-15 00:31:44,-0.9131,122.8766,81.41,74,99,1.07
278,Isla Aguada,MX,2022-05-15 00:31:45,18.7833,-91.4667,84.24,72,4,16.96
279,Saldanha,ZA,2022-05-15 00:31:45,-33.0117,17.9442,51.85,83,0,10.11
280,Dunedin,NZ,2022-05-15 00:31:46,-45.8742,170.5036,51.8,90,90,8.01
281,Clonakilty,IE,2022-05-15 00:31:46,51.6231,-8.8706,51.01,86,19,4.36
282,Rocha,UY,2022-05-15 00:31:47,-34.4833,-54.3333,51.12,95,76,5.5
283,Fort Frances,CA,2022-05-15 00:31:47,48.5999,-93.4003,55.62,62,100,10.36
284,Yen Bai,VN,2022-05-15 00:26:53,21.7,104.8667,75.88,98,100,1.68
285,Oranjestad,AW,2022-05-15 00:31:48,12.524,-70.027,82.35,69,20,23.02
286,Port Macquarie,AU,2022-05-15 00:31:49,-31.4333,152.9167,76.89,83,59,6.33
287,Sangar,RU,2022-05-15 00:31:49,63.9242,127.4739,34.25,50,39,0.29
288,Dalbandin,PK,2022-05-15 00:31:50,28.8947,64.4101,72.28,28,0,7.94
289,Khaga,IN,2022-05-15 00:31:50,25.7833,81.1167,91.26,17,0,9.04
