City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
378,Kudahuvadhoo,MV,83.32,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
398,Karratha,AU,80.91,clear sky,-20.7377,116.8463,ibis Styles Karratha
403,Yarada,IN,86.32,mist,17.65,83.2667,Yarada Jungle Beach Resorts
404,Veraval,IN,85.39,clear sky,20.9,70.3667,Lords Inn Somnath
406,Bartica,GY,79.12,overcast clouds,6.4,-58.6167,Sloth Island Nature Resort
409,Faanui,PF,81.72,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
411,Manado,ID,88.57,few clouds,1.487,124.8455,Aryaduta Hotel
414,Maumere,ID,85.15,broken clouds,-8.6199,122.2111,Sylvia Hotel
418,Yeppoon,AU,82.18,scattered clouds,-23.1333,150.7333,Villa Mar Colina
422,Langub,PH,85.26,moderate rain,10.7981,123.5372,Bonista Beach Resort
428,Sola,VU,79.75,overcast clouds,-13.8833,167.55,Leumerus Bungalows
429,Taitung,TW,75.47,broken clouds,22.7583,121.1444,Taitung Bali Suites Hotel
432,Villanueva,HN,76.19,clear sky,15.3167,-88.0,IGLESIA EVANGELICA DEL PRINCIPE DE PAZ
434,Lompoc,US,75.78,few clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
438,Langsa,ID,88.27,overcast clouds,4.4683,97.9683,OYO 3328 Hotel Mori
450,Macau,MO,76.86,scattered clouds,22.2006,113.5461,Grand Emperor Hotel
451,Mitsamiouli,KM,79.61,clear sky,-11.3847,43.2844,Foyer ADM
453,Natal,BR,77.65,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
461,Sulangan,PH,83.07,heavy intensity rain,11.1373,123.7228,Maia's Beach Resort
464,Sorong,ID,83.77,broken clouds,-0.8833,131.25,Waigo Splash Hotel
467,Bontang,ID,86.04,light rain,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
474,Japura,ID,89.73,few clouds,-0.3167,102.35,Rumah mbah Jamah
479,Coahuayana,MX,76.08,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
481,Abeche,TD,81.28,overcast clouds,13.8292,20.8324,Assaleh Hamdan Haroune
484,Xucheng,CN,80.38,overcast clouds,20.35,110.1288,Haixing Hotel
485,Sao Jose Da Coroa Grande,BR,77.77,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
487,Lazaro Cardenas,MX,80.26,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
490,San Matias,BO,78.91,overcast clouds,-16.3667,-58.4,"HOTEL ""SAN JOSE"""
491,Meulaboh,ID,78.53,overcast clouds,4.1363,96.1285,Kost Pria
493,Bahia Honda,CU,75.09,light rain,22.9036,-83.1592,Casa Gualberto - Deysi
509,Namatanai,PG,85.64,scattered clouds,-3.6667,152.4333,Seagulls Inn Namatani
511,West Bay,KY,78.08,broken clouds,19.3667,-81.4167,Calypso Cove
512,Anloga,GH,81.73,scattered clouds,5.7947,0.8973,Pin Drop Hotel
516,Doha,QA,82.38,clear sky,25.2867,51.5333,Movenpick Hotel Doha
521,Hays,US,82.33,broken clouds,30.0502,-98.0336,Sinya on Lone Man Creek
522,Ternate,ID,80.92,light rain,0.8,127.4,Sahid Bela Ternate Hotel
534,Srivaikuntam,IN,84.38,broken clouds,8.6167,77.9333,Bright cafe
541,Bushehr,IR,80.35,clear sky,28.9684,50.8385,Yas Hotel
543,Tual,ID,83.55,scattered clouds,-5.6667,132.75,Grand Vilia Hotel
546,Honiara,SB,84.43,overcast clouds,-9.4333,159.95,Heritage Park Hotel
547,Sragen,ID,84.06,overcast clouds,-7.4264,111.0222,Graha Hotel Sragen
548,Rancho Palos Verdes,US,84.27,broken clouds,33.7445,-118.387,Terranea Resort
554,Vanimo,PG,85.62,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
559,Port Moresby,PG,82.85,scattered clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
560,Pochutla,MX,82.81,broken clouds,15.7432,-96.4661,Hotel Posada San Jose
561,Tucumcari,US,75.04,clear sky,35.1717,-103.725,"Holiday Inn Express & Suites Tucumcari, an IHG Hotel"
564,Cabedelo,BR,77.67,light rain,-6.9811,-34.8339,Hotel Pigalle
569,Port-Gentil,GA,80.1,moderate rain,-0.7193,8.7815,Fengshui Residence
570,Pitimbu,BR,77.59,few clouds,-7.4706,-34.8086,Reserva do Abiaí
571,Kawalu,ID,85.8,broken clouds,-7.3817,108.2082,West Jontor
573,Trincomalee,LK,80.87,overcast clouds,8.5711,81.2335,Welcombe Hotel
577,Bhattiprolu,IN,87.96,broken clouds,16.1,80.7833,Kondalu Hotel
582,Yaring,TH,84.29,broken clouds,6.8662,101.3689,สถานที่จัดงานแต่ง SOFEE & DORN
588,Austin,US,84.27,overcast clouds,30.2672,-97.7431,The Driskill - In the Unbound Collection by Hyatt
596,Negombo,LK,84.25,scattered clouds,7.2083,79.8358,Hotel Sunset Beach
604,Port Hedland,AU,80.65,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
616,Murwillumbah,AU,77.02,broken clouds,-28.3167,153.4,Murwillumbah Motor Inn
620,Marawi,PH,81.34,broken clouds,7.9986,124.2928,Derogongan Residence
626,Pingdingshan,CN,76.06,overcast clouds,33.7385,113.3012,Chengfu Hotel
631,Huai Thalaeng,TH,88.27,broken clouds,14.997,102.6475,รีสอร์ทฟิวแอนทิว
632,Bandarbeyla,SO,80.87,clear sky,9.4942,50.8122,JABIR HOTEL
635,Chabahar,IR,83.25,clear sky,25.2919,60.643,هتل گدروشیا
638,Cabo Rojo,PR,78.67,overcast clouds,18.0866,-67.1457,Hotel Perichi's
644,Malindi,KE,77.02,light rain,-3.2175,40.1191,African House Resort
647,Monaragala,LK,78.17,overcast clouds,6.8714,81.3487,Silanrich Hotel
648,Banda Aceh,ID,85.46,broken clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
649,Coruripe,BR,76.15,scattered clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
652,Luganville,VU,80.58,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
