City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
111,Geraldton,AU,-28.7667,114.6,68.41,64,100,9.22,overcast clouds
112,Galle,LK,6.0367,80.217,81.34,81,100,15.46,overcast clouds
113,Henties Bay,NA,-22.116,14.2845,58.86,73,0,4.76,clear sky
114,Tiksi,RU,71.6872,128.8694,19.24,88,17,7.61,few clouds
115,Mount Gambier,AU,-37.8333,140.7667,60.71,82,75,18.41,broken clouds
116,Sosua,DO,19.7667,-70.5167,78.78,88,75,0.0,broken clouds
117,Dakar,SN,14.6937,-17.4441,74.28,82,23,11.54,few clouds
118,Ofaqim,IL,31.3141,34.6203,68.7,80,63,8.19,broken clouds
119,Palmer,US,42.1584,-72.3287,69.51,82,100,8.05,light rain
120,Matagami,CA,49.7502,-77.6328,68.11,64,0,2.3,clear sky
121,Erzin,TR,36.9559,36.2,68.99,58,89,8.32,overcast clouds
122,Gardner,US,42.5751,-71.9981,69.48,81,100,7.0,overcast clouds
123,Caravelas,BR,-17.7125,-39.2481,74.25,74,99,7.92,overcast clouds
124,Meadow Lake,US,34.8014,-106.5436,75.47,26,0,4.41,clear sky
125,Ola,RU,59.5833,151.2833,40.33,87,100,22.66,overcast clouds
126,Sawakin,SD,19.1059,37.3321,82.26,65,0,3.51,clear sky
127,Mandali,IQ,33.7499,45.5541,79.63,17,3,15.17,clear sky
128,Albania,AL,41.0,20.0,63.0,80,100,4.25,overcast clouds
129,Yanam,IN,16.7333,82.2167,90.64,63,16,5.66,few clouds
130,Lorengau,PG,-2.0226,147.2712,85.66,62,100,7.49,overcast clouds
131,Leland,US,34.2563,-78.0447,70.97,93,0,4.61,clear sky
132,Chuy,UY,-33.6971,-53.4616,57.36,90,86,5.79,overcast clouds
133,Gazanjyk,TM,39.2446,55.5154,69.48,36,97,11.59,overcast clouds
134,Hauterive,FR,46.0901,3.4459,59.76,87,98,3.58,overcast clouds
135,Hofn,IS,64.2539,-15.2082,42.82,86,100,10.8,overcast clouds
136,Darnah,LY,32.767,22.6367,64.27,69,0,12.33,clear sky
137,Airai,TL,-8.9266,125.4092,71.46,70,85,2.13,overcast clouds
138,Yingcheng,CN,30.95,113.55,69.8,39,100,10.38,overcast clouds
139,Galeana,MX,24.8333,-100.0667,61.65,62,9,2.91,clear sky
140,Ambilobe,MG,-13.2,49.05,65.5,91,0,3.71,clear sky
141,Jatiroto,ID,-7.8833,111.1167,83.35,74,100,2.01,overcast clouds
142,Husavik,IS,66.0449,-17.3389,38.07,91,100,6.89,overcast clouds
143,Jamestown,US,42.097,-79.2353,63.99,97,82,4.72,broken clouds
144,Rio Gallegos,AR,-51.6226,-69.2181,37.45,81,0,8.05,clear sky
145,Lagoa,PT,39.05,-27.9833,58.53,66,66,29.42,broken clouds
146,Gidam,IN,18.9833,81.4,90.79,53,22,5.35,few clouds
147,Tahta,EG,26.7693,31.5021,72.64,36,93,18.95,overcast clouds
148,Luangwa,ZM,-15.6167,30.4167,58.73,84,0,2.13,clear sky
149,Rajanpur,PK,29.1035,70.325,98.04,11,0,16.42,clear sky
150,Ornskoldsvik,SE,63.2909,18.7153,40.15,81,34,13.8,scattered clouds
151,Thinadhoo,MV,0.5333,72.9333,83.08,70,97,9.17,overcast clouds
152,Berlevag,NO,70.8578,29.0864,39.0,81,89,0.0,overcast clouds
153,Hasaki,JP,35.7333,140.8333,64.8,62,100,15.14,overcast clouds
154,Bukama,CD,-9.2,25.85,63.99,69,4,2.91,clear sky
155,Grindavik,IS,63.8424,-22.4338,45.07,100,100,21.85,overcast clouds
156,Raymondville,US,26.4815,-97.7831,79.09,81,0,10.13,clear sky
157,Labuhan,ID,-6.8844,112.2051,85.5,74,100,3.51,overcast clouds
158,Namibe,AO,-15.1961,12.1522,70.97,65,0,3.49,clear sky
159,Tabuk,PH,17.4189,121.4443,87.64,63,96,5.28,overcast clouds
160,Aquiraz,BR,-3.9014,-38.3911,82.49,89,65,11.25,broken clouds
